,id,eid,formula,R1,R2,R3,F1,F2,F3,P0,P1,YM,YM_err,YS,YS_err,UTS,UTS_err,DAR,DAR_err,HV,HV_err,moe,moe_class,ph1,ph2,ph3,condition,comments,composition
0,1,Ti-23Nb-10Zr-2.0Fe,Ti0.7791Fe0.0234Zr0.0617Nb0.1358,1,10.1007/s10853-021-06002-0,salvador2021,1,0,0,1860,90,79,1,782,62,,,10,1,252,8,12.88,meta,Ti-beta,,,ST-WQ,"Young modulus obtained via tensile tests (Table 3). Grain size not reported, estimated from Fig. 9. ",Ti0.7791 Fe0.0234 Zr0.0617 Nb0.1358
1,2,Ti-27Nb-10Zr-1.5Fe,Ti0.7575Fe0.0156Zr0.0637Nb0.1632,1,10.1007/s10853-021-06002-0,salvador2021,1,1,0,1400,60,78,3,735,94,,,9,1,229,2,11.65,meta,Ti-beta,,,ST-WQ,"Young modulus obtained via tensile tests (Table 3). Grain size not reported, estimated from Fig. 9. ",Ti0.7575 Fe0.0156 Zr0.0637 Nb0.1632
2,3,Ti-31Nb-10Zr-1.0Fe,Ti0.7298Fe0.0138Zr0.0664Nb0.1899,1,10.1007/s10853-021-06002-0,salvador2021,1,0,0,1310,60,77,2,672,99,,,15,6,218,5,12.08,meta,Ti-beta,,,ST-WQ,"Young modulus obtained via tensile tests (Table 3). Grain size not reported, estimated from Fig. 9. ",Ti0.7298 Fe0.0138 Zr0.0664 Nb0.1899
3,4,Ti-11Nb-7Zr-3.5Fe,Ti0.8622Fe0.0349Zr0.041Nb0.0618,2,10.1016/j.matdes.2018.10.040,dalbo2018,1,1,0,1640,100,90,2,1011,17,,,4,1,358,3,13.78,meta,Ti-beta,Ti-omega,,ST-WQ,Young modulus obtained via tensile tests (Table 3),Ti0.8622 Fe0.0349 Zr0.041 Nb0.0618
4,5,Ti-19Nb-6Sn-2.5Fe,Ti0.8376Fe0.0256Nb0.11Sn0.0268,2,10.1016/j.matdes.2018.10.040,dalbo2018,1,1,0,1280,70,71,2,765,10,,,31,5,260,9,12.76,meta,Ti-beta,Ti-omega,,ST-WQ,Young modulus obtained via tensile tests (Table 3),Ti0.8376 Fe0.0256 Nb0.11 Sn0.0268
5,6,Ti-19Nb-10Zr-2.5Fe,Ti0.7974Fe0.027Zr0.0619Nb0.1137,2,10.1016/j.matdes.2018.10.040,dalbo2018,1,1,0,1570,70,69,1,1027,33,,,8,2,267,3,13.12,meta,Ti-beta,Ti-omega,,ST-WQ,Young modulus obtained via tensile tests (Table 3),Ti0.7974 Fe0.027 Zr0.0619 Nb0.1137
6,7,Ti-31Nb-1.0Fe,Ti0.8085Fe0.011Nb0.1805,3,10.1016/j.jmbbm.2016.09.024,salvador2017,1,1,0,1400,,81,3,477,79,,,-32,,230,11,11.55,meta,Ti-beta,Ti-omega,,ST-WQ,Average grain size not reported. Young modulus obtained via pulse-echo ultrasonic testing. Yield strength obtained via compression tests.,Ti0.8085 Fe0.011 Nb0.1805
7,8,Ti-27Nb-1.5Fe,Ti0.8254Fe0.0162Nb0.1584,3,10.1016/j.jmbbm.2016.09.024,salvador2017,1,1,0,1300,,94,2,496,31,,,-33,,277,16,12.23,meta,Ti-beta,Ti-omega,,ST-WQ,Average grain size not reported. Young modulus obtained via pulse-echo ultrasonic testing. Yield strength obtained via compression tests.,Ti0.8254 Fe0.0162 Nb0.1584
8,9,Ti-23Nb-2.0Fe,Ti0.8458Fe0.0217Nb0.1325,3,10.1016/j.jmbbm.2016.09.024,salvador2017,1,1,0,1300,,95,5,604,55,,,-34,,314,6,12.89,meta,Ti-beta,Ti-omega,,ST-WQ,Average grain size not reported. Young modulus obtained via pulse-echo ultrasonic testing. Yield strength obtained via compression tests.,Ti0.8458 Fe0.0217 Nb0.1325
9,10,Ti-19Nb-2.5Fe,Ti0.8707Fe0.0254Nb0.1039,3,10.1016/j.jmbbm.2016.09.024,salvador2017,1,1,0,1600,,90,3,672,77,,,-32,,334,4,12.92,meta,Ti-beta,Ti-omega,,ST-WQ,Average grain size not reported. Young modulus obtained via pulse-echo ultrasonic testing. Yield strength obtained via compression tests.,Ti0.8707 Fe0.0254 Nb0.1039
10,11,Ti-15Nb-3.0Fe,Ti0.8895Fe0.028Nb0.0825,3,10.1016/j.jmbbm.2016.09.024,salvador2017,1,1,0,1700,,94,3,695,40,,,-50,,362,3,12.9,meta,Ti-beta,Ti-omega,,ST-WQ,Average grain size not reported. Deformation is higher than > 40 (no fracture) and cannot be determined. Young modulus obtained via pulse-echo ultrasonic testing. Yield strength obtained via compression tests. Sample with no apparent fracture in compression - assumed deformation of -50%.,Ti0.8895 Fe0.028 Nb0.0825
11,12,Ti-11Nb-3.5Fe,Ti0.9063Fe0.0335Nb0.0602,3,10.1016/j.jmbbm.2016.09.024,salvador2017,1,1,0,1800,,97,1,715,44,,,-50,,382,3,13.75,meta,Ti-beta,Ti-omega,,ST-WQ,Average grain size not reported. Deformation is higher than > 40 (no fracture) and cannot be determined. Young modulus obtained via pulse-echo ultrasonic testing. Yield strength obtained via compression tests. Sample with no apparent fracture in compression - assumed deformation of -50%.,Ti0.9063 Fe0.0335 Nb0.0602
12,13,Ti-30Nb,Ti0.8184Nb0.1816,4,10.1007/s11661-016-3411-0,lopes2016,1,1,0,1100,350,79,4,348,17,601,15,28.5,2.6,202,4,8.43,near,Ti-beta,Ti-omega,,ST-WQ,Average grain size not reported - estimated from Fig. 10. Young modulus obtained via pulse-echo ultrasonic testing. Mechanical properties extracted from Fig. 18.,Ti0.8184 Nb0.1816
13,14,Ti-30Nb-1Fe,Ti0.8063Fe0.0111Nb0.1826,4,10.1007/s11661-016-3411-0,lopes2016,1,1,0,1700,350,79,4,606,14,633,22,17.3,2.1,284,9,11.66,meta,Ti-beta,Ti-omega,,ST-WQ,Average grain size not reported - estimated from Fig. 10. Young modulus obtained via pulse-echo ultrasonic testing. Mechanical properties extracted from Fig. 18.,Ti0.8063 Fe0.0111 Nb0.1826
14,15,Ti-30Nb-3Fe,Ti0.7912Fe0.0292Nb0.1796,4,10.1007/s11661-016-3411-0,lopes2016,1,1,0,1200,350,78,4,625,12,656,13,19,0.7,255,6,16.73,meta,Ti-beta,Ti-omega,,ST-WQ,Average grain size not reported - estimated from Fig. 10. Young modulus obtained via pulse-echo ultrasonic testing. Mechanical properties extracted from Fig. 18.,Ti0.7912 Fe0.0292 Nb0.1796
15,16,Ti-30Nb-5Fe,Ti0.7719Fe0.0514Nb0.1768,4,10.1007/s11661-016-3411-0,lopes2016,1,1,0,1500,350,79,4,629,15,689,6,16.6,0.7,246,6,22.98,meta,Ti-beta,Ti-omega,,ST-WQ,Average grain size not reported - estimated from Fig. 10. Young modulus obtained via pulse-echo ultrasonic testing. Mechanical properties extracted from Fig. 18.,Ti0.7719 Fe0.0514 Nb0.1768
16,17,Ti-12Nb-5Fe,Ti0.889Fe0.0414Nb0.0696,5,10.1016/j.actbio.2015.12.010,biesiekierski2016,0,0,0,,140,90,20,740,20,,,-42,0,293,6,16.59,meta,Ti-beta,,,ST-WQ,Small rods with a height of 10.00 mm and 5.00 mm diameter for mechanical testing (compression),Ti0.889 Fe0.0414 Nb0.0696
17,18,Ti-7Ta-4Fe,Ti0.9464Fe0.0328Ta0.0208,5,10.1016/j.actbio.2015.12.010,biesiekierski2016,0,0,0,,140,110,10,1250,40,,,-7,1,430,10,12.06,meta,Ti-alpha-dp,Ti-beta,,ST-WQ,Small rods with a height of 10.00 mm and 5.00 mm diameter for mechanical testing (compression),Ti0.9464 Fe0.0328 Ta0.0208
18,19,Ti-10Ta-4Fe,Ti0.9382Fe0.0343Ta0.0275,5,10.1016/j.actbio.2015.12.010,biesiekierski2016,0,0,0,,140,121,2,1360,20,,,-14,4,410,10,12.84,meta,Ti-beta,Ti-omega,,ST-WQ,Small rods with a height of 10.00 mm and 5.00 mm diameter for mechanical testing (compression),Ti0.9382 Fe0.0343 Ta0.0275
19,20,Ti-13Mo-6Sn,Ti0.8984Mo0.0724Sn0.0292,6,10.1016/j.msea.2019.138190,mello2019,1,0,0,2100,,66,4,650,18,,,12,2,314,10,13,meta,Ti-beta,,,ST-WQ,Grain size not reported. ,Ti0.8984 Mo0.0724 Sn0.0292
20,21,Ti-9Mo,Ti0.9535Mo0.0465,7,10.1016/j.matchar.2015.10.005,mello2015,1,1,0,1700,,91,3,537,11,852,22,22,4,350,9,8.9,near,Ti-beta,Ti-omega,,ST-WQ,Grain size not reported. ,Ti0.9535 Mo0.0465
21,22,Ti-9Mo-1.5Sn,Ti0.9436Mo0.0487Sn0.0077,7,10.1016/j.matchar.2015.10.005,mello2015,1,1,0,1600,,89,2,511,16,847,29,18,3,312,5,9.21,near,Ti-beta,Ti-omega,,ST-WQ,Grain size not reported. ,Ti0.9436 Mo0.0487 Sn0.0077
22,23,Ti-9Mo-6Sn,Ti0.9241Mo0.0473Sn0.0286,7,10.1016/j.matchar.2015.10.005,mello2015,1,1,0,1700,,78,2,441,57,803,37,16,1,271,5,8.7,near,Ti-beta,Ti-omega,,ST-WQ,Grain size not reported. ,Ti0.9241 Mo0.0473 Sn0.0286
23,24,Ti-25Zr-24Nb,Ti0.5723Zr0.1831Nb0.2445,8,10.1016/j.actbio.2015.03.023,ozan2015,0,0,0,,300,62,3.6,810,48,,,14.8,1.6,241.3,,9.52,near,Ti-beta,,,As-cast,Grain size estimated from Figure 2. Mechanical properties from tensile testing.,Ti0.5723 Zr0.1831 Nb0.2445
24,25,Ti-32Zr-30Nb,Ti0.5409Zr0.239Nb0.22,8,10.1016/j.actbio.2015.03.023,ozan2015,0,0,0,,300,65,4.2,782,18.8,,,13,1.8,244.4,,8.4,near,Ti-beta,,,As-cast,Grain size estimated from Figure 2. Mechanical properties from tensile testing.,Ti0.5409 Zr0.239 Nb0.22
25,26,Ti-35Zr-28Nb,Ti0.5259Zr0.2669Nb0.2073,8,10.1016/j.actbio.2015.03.023,ozan2015,0,0,0,,300,64,4.5,729,26.3,,,11.3,1.5,244,,7.84,near,Ti-beta,,,As-cast,Grain size estimated from Figure 2. Mechanical properties from tensile testing.,Ti0.5259 Zr0.2669 Nb0.2073
26,27,Ti-41Zr-25Nb,Ti0.5027Zr0.3112Nb0.1862,8,10.1016/j.actbio.2015.03.023,ozan2015,0,0,0,,300,63,4.2,682,49.5,,,9.9,1.1,235.6,,6.94,near,Ti-beta,,,As-cast,Grain size estimated from Figure 2. Mechanical properties from tensile testing.,Ti0.5027 Zr0.3112 Nb0.1862
27,28,Ti-13Nb-13Zr,Ti0.8416Zr0.0792Nb0.0792,9,10.1016/j.jmbbm.2011.03.023,majumdar2011,1,0,0,1200,,66,1.2,501,23,,,20.3,2.6,220,5,3.75,rich,Ti-beta,Ti-alpha-dp,,ST-WQ,Deformation and ST at 800 deg C followed by WQ (Figure 10a). Mechanical properties from tensile tests.  ,Ti0.8416 Zr0.0792 Nb0.0792
28,29,Ti-28Nb-13Zr-0.5Fe,Ti0.7236Fe0.0057Zr0.0868Nb0.1839,10,10.1016/j.msea.2009.08.057,cui2009,1,1,0,1100,100,58,,780,,,,13,,,,9.52,near,Ti-beta,Ti-alpha-dp,,ST-WQ,"Average grain size from the text in section 3. Cylindrical specimens gauge diameter of 5 mm, length 25 mm.",Ti0.7236 Fe0.0057 Zr0.0868 Nb0.1839
